title,view_count,word_count
【分享】各式特殊符號圖案表/文字表情/表情符號/日本顏文字(完整版),0,41587
[文具控] 國產的美好 鋁合金秀氣筆身鋼筆 SKB 文明筆 星紀元 鋼筆 (RS-702),0,1309
分享 l 花2.5元可殺千隻蚊（轉貼）,245560,1591
《穿搭》Orange Bear ► 棉花糖女孩的寬褲實驗室! 初次寬褲心得分享❤,58478,2721
誤會大了的多發性皮脂囊腫(粉瘤),0,4708
兒童年紀、身高、體重、腳長標示參考對照表 / 鞋子尺碼換算表,35024,1218
心肌梗塞是什麼樣的疾病？為什麼會發生心肌梗塞？,38095,1569
"常用紙張尺寸及示意圖(A0,A1...A3,A4,A5...A8)",3464647,1443
請假的理由,55355,1929
[日記] 5V 24W 行動收折USB太陽能充電板 DIY,12845,1247
遊戲APP容易閃退?快來參考看看吧!,76464,1525
【高雄-苓雅】STP泡麵捲餅專賣店X真材實料超大杯飲品X泡麵捲餅蹦出新滋味♥♥♥,449,2079
【分享】屬於我的符號  自己設計的小刺青 & 女生小刺青大全,157397,2361
【活動｜集點】2018.06.03 集點優惠活動 7-11/全家/萊爾富/全聯/OK/康是美/屈臣氏/麥當勞/85度C/寶雅/清心福全,0,4535
【好文分享】每個星座的致命傷,47804,20370
轉貼~~分享周星馳經典台詞及搞笑對白 ,371251,8379
逢甲選課秘笈 2017.01 更新 (逢甲選課祕笈 選課密集 選課秘笈),543522,48638
【資訊】嘴巴要張開會痛---顳頷關節痛,168130,3148
【媽咪寶貝大小事】一歲疫苗*德國麻疹&水痘*後勁果然不可小覷阿╮(╯◇╰)╭,55550,7172
外國遊客必看！2018最新~台灣伴手禮/手信『必買清單』！MUST BUY LIST,203459,2563
[東京迪士尼]35周年限定商品,12006,1473
韓國必去夜店懶人包（史上最強） 免費玩首爾夜店攻略 （弘大＋江南夜店介紹 NB1+NB2+Octagon+Arena+Mass+Cocoon ）,87025,7073
exhentai   真正進入方式(無需複雜方法),206754,976
雷達超智慧薄型液體電蚊香試用心得,116823,2165
(生活)-一個門號辦多個line帳號,218789,1445
2018壽星優惠~開幕優惠~特價優惠~107.05.03更新,161267,1515
"捷運永春站美食 ✿ 得利來福 Daily Life 健康養生餐廳 ✿ 當令食材入菜, 全食物料理, 養生不必花大錢！ (菜單/menu)",1506,2318
 12種徵兆，簡易鑑別咳嗽原因,276169,3198
【卡片】LG Pocket Photo X 相機卡片｜情人節卡片 【2016 ♥ 情人節快樂】,346832,3764
灰色調側背包,1301,278
除害達人來講解-黏在牆壁上的衣蛾,0,1129
【購物】Costco 好市多必買物/購物清單,403954,291
七大速效提神法,159935,3430
(專貼自網路)2010年女主播的三圍資料,412203,16832
經痛!!緊急舒緩經痛穴位按法~,279224,1955
有關檔車入門基礎，新手絕對適用，建議閱後實際操作演練。,262317,2539
騙子感情詐騙(愛情詐騙)公式及防範招式(網友留言也值得看),72540,1938
神奇的藍藥水~蝶豆與重瓣蝶豆花,319264,2280
COACH專櫃包?COACH FACTORY包?真包還是假包，JOY教你辨別COACH真假!!!,136042,9844
║牙套日記║☞隱適美Invisalign@透明隱形牙套．走在牙齒矯正之路Star☜,76352,2711
【網購不踩雷】拒絕腳硬皮，平底涼鞋拖鞋挑選小秘訣！！((內有影片)),4228,3031
生命靈數 DNA 數字解析法,0,5193
"生活省錢小撇步 2018年2019年最新資源回收價錢行情報價心得,資源回收拯救地球順手賺零用金",523853,3046
【分享】推薦CP值超高的精準按摩專業按摩師,669165,6203
教你看手相把握未來,126233,1808
2018年日本機場香菸×桃園機場香煙售價-七星版,15383,497
極上！我所收集的日本菸,103984,2531
【對年及合爐儀式的程序、供品、合爐師父、紅包、費用、禁忌完整介紹】,18154,1973
[禮物] 準備給朋友的生日/節日禮物推薦。近半年內我購買的禮物清單 Gift Ideas,43541,3542
【國內外團康遊戲彙整】好玩好嗨團康遊戲趴兔Part2--結合一點美國團康遊戲小點子~Let's Play!!Let’s Party!!!,282293,3640
預防眼周細紋，拒絕老十歲【AHC第六代眼霜】教會你「全臉細紋」保養問題,4346,3818
拉密數字牌 Rummikub,209520,2356
【LINE】無效的電話號碼 - 認證太多次被鎖號碼 解決辦法！,42350,747
Re: [閒聊] 有人敢舔女生的下面嗎,143219,7997
每天五分鐘練出川字肌/馬甲線,185087,2014
【生活】韓國 cocodor 室內擴香,24880,1040
【開箱】機場免稅購物‧CHANEL WOC Wallet on chain,435732,1868
超實用！耳機變好聽之小祕密(1)：煲機(Run in),433561,2399
閨房秘技「KY 潤滑液」之難忘的情人夜！嘿咻嘿咻卻發現火山口乾乾的？,357095,3308
大發日用品批發倉庫 絕對便宜逛到腿痠上萬件生活用品.五金百貨.玩具批發倉庫!!((新手必看 資訊更新 手機查價)),810135,3689
｜日本買物｜日本隱形眼鏡購買教學指南＆變色片放大片購賣紀錄（無需處方簽）,3365,3891
