title,view_count,word_count
《她不知道那些鳥的名字》－純愛的負面教材,5447,2764
[中英文歌詞] The Chainsmokers-Closer (ft. Halsey海爾賽),345539,2460
[開箱評測]Final E4000 E5000 入耳式耳機～太刀武士之頂尖對決！,1191,4506
中英歌詞：小賈斯汀(Justin Bieber) - Love Yourself (愛你自己),667699,3322
[電影] 我心目中的十大排名韓國電影推薦☞②,178053,5778
107農曆四月戲路表,3614,675
電影免費線上看-角頭2：王者天下 (水準及品質遠遠勝於第一集) 線上免費影城 全片高清 17dg.tw,701,2250
免費電影線上看---死侍2 Deadpool 2,2184,834
《Heart Signal 2》韓劇般的戀愛韓綜！上演刺激愛情爭奪戰，4男4女都有明星臉,1725,2262
【打包】180528 Dispatch Fake Love MV花絮 75P,0,247
Bruno Mars【Count On Me】 依靠我 (中英文歌詞),376125,2736
Post Malone - Psycho 中文歌詞翻譯,19013,394
【River flows in you 鋼琴譜】,136814,441
【KTV歌曲】KTV必點歌曲！一定要唱的歌！【殺殺與夥伴們適用版】（會再更新）,83470,2369
韓國電影《熔爐》,244493,6197
讓人佩服的再見曼德拉（Goodbye Bafana）,9765,4642
[電影隨想] --- 《逆轉人生》,50505,4150
重要的存在-第二十七章　不要這麼急，好嗎？,72,2589
[音樂] 每天都是情人節! 甜蜜蜜 *10首必聽* 國語戀愛情歌 #女生篇 | Jamie 點播歌單,29036,2402
【泰影介紹】Weir也躍上大螢幕囉！หนัง 11 12 13 รักกันจะตาย 我將會死,4838,1420
不負責影評｜第22年的告白：我是殺人犯,6174,1397
『好用APP』Audiko鈴聲(免費手機鈴聲下載),611045,659
【電影心得】我就要你好好的 Me Before You－因為彼此，而成為更好的人,218163,3770
《酒後亂性H文》主南糖,25709,5183
美麗境界A Beautiful Mind~幾何圖形建構出的心靈世界~,6292,5531
【影評】《池畔謎情》-潛伏狂熱氣息裡的情慾殺機,10485,1659
《樓下的房客》結局。純屬個人觀點,22633,3031
[The legend of Tarzan] 泰山傳奇~這個泰山不一樣~,35185,3349
中文歌詞翻譯Selena Gomez - Back to you,2946,3097
我是殺人犯 韓國版與日本版 觀後感,2290,4160
【歌詞中文翻譯】Charlie Puth - We Don't Talk Anymore(不再甜蜜) ft.Selena Gomez,599025,3984
【歌詞翻譯】DJ Snake ft. Justin Bieber - Let Me Love You @我是魚，我愛貓。,61385,2381
6點讓你的翻唱聽起來更專業,0,5126
=教學= 還不會回郵的 你/妳 趕快點進來吧!,59252,861
【電影觀後感】盧安達飯店＿永遠洗不去的歷史傷口,58702,5823
